,0
799,1
800,0
801,0
802,1
803,12
804,2
805,2
806,2
807,1
808,0
809,5
810,4
811,1
812,1
813,1
814,1
815,5
816,2
817,0
818,0
819,1
820,1
821,0
822,2
823,1
824,0
825,0
826,1
827,2
828,1
829,2
830,1
831,1
832,0
833,0
834,0
835,1
836,1
837,1
838,1
839,1
840,1
841,0
842,1
843,2
844,0
845,1
846,3
847,0
848,1
849,0
850,1
851,0
852,1
853,5
854,0
855,0
856,0
857,0
858,0
859,1
860,3
861,1
862,2
863,0
864,2
865,0
866,2
867,1
868,1
869,0
870,6
871,0
872,2
873,1
874,1
875,1
876,0
877,0
878,1
879,1
880,2
881,0
882,1
883,0
884,1
885,2
886,0
887,1
888,0
889,1
890,4
891,0
892,0
893,0
894,0
895,1
896,1
897,0
898,2
899,1
900,0
901,0
902,0
903,3
904,0
905,3
906,2
907,3
908,0
909,0
910,1
911,2
912,1
913,1
914,1
915,0
916,1
917,0
918,0
919,0
920,1
921,1
922,1
923,1
924,3
925,0
926,0
927,0
928,1
929,6
930,0
931,1
932,1
933,2
934,1
935,1
936,1
937,1
938,0
939,2
940,1
941,2
942,1
943,2
944,7
945,1
946,0
947,1
948,0
949,1
950,0
951,2
952,0
953,0
954,3
955,1
956,1
957,0
958,1
959,0
960,0
961,0
962,0
963,0
964,3
965,0
966,0
967,0
968,2
969,0
970,0
971,2
972,0
973,2
974,0
975,0
976,6
977,1
978,2
979,1
980,2
981,0
982,2
983,1
984,0
985,0
986,1
987,0
988,1
989,2
990,0
991,1
992,0
993,1
994,0
995,0
996,1
997,1
998,0
999,0
1000,1
1001,0
1002,2
1003,1
1004,2
1005,0
1006,1
1007,1
1008,3
1009,3
1010,0
1011,1
1012,0
1013,1
1014,0
1015,3
1016,0
1017,1
1018,2
1019,0
1020,1
1021,1
1022,4
1023,13
1024,1
1025,0
1026,0
1027,0
1028,0
1029,1
1030,1
1031,3
1032,2
1033,0
1034,0
1035,1
1036,2
1037,0
1038,0
1039,0
1040,2
1041,3
1042,0
1043,1
1044,1
1045,2
1046,0
1047,0
1048,0
1049,0
1050,0
1051,0
1052,0
1053,0
1054,1
1055,1
1056,1
1057,1
1058,1
1059,0
1060,1
1061,4
1062,0
1063,0
1064,3
1065,0
1066,1
1067,1
1068,4
1069,1
1070,1
1071,0
1072,0
1073,1
1074,0
1075,0
1076,3
1077,5
1078,0
1079,2
1080,0
1081,0
1082,0
1083,0
1084,4
1085,2
1086,0
1087,0
1088,1
1089,1
1090,2
1091,0
1092,0
1093,2
1094,7
1095,1
1096,1
1097,1
1098,0
1099,1
1100,1
1101,0
1102,1
1103,1
1104,1
1105,1
1106,1
1107,4
1108,1
1109,2
1110,3
1111,0
1112,0
1113,1
1114,1
1115,0
1116,1
1117,0
1118,1
1119,0
1120,2
1121,2
1122,0
1123,0
1124,0
1125,2
1126,1
1127,0
1128,2
1129,1
1130,0
1131,1
1132,0
1133,1
1134,1
1135,1
1136,0
1137,1
1138,2
1139,0
1140,0
1141,0
1142,1
1143,0
1144,0
1145,1
1146,0
1147,1
1148,8
1149,1
1150,0
1151,1
1152,0
1153,1
1154,1
1155,0
1156,2
1157,0
1158,3
1159,0
1160,1
1161,1
1162,0
1163,1
1164,2
1165,2
1166,0
1167,1
1168,0
1169,0
1170,1
1171,2
1172,2
1173,0
1174,0
1175,3
1176,1
1177,1
1178,0
1179,0
1180,1
1181,0
1182,1
1183,1
1184,2
1185,0
1186,0
1187,1
1188,1
1189,1
1190,1
1191,1
1192,1
1193,0
1194,1
1195,2
1196,2
1197,1
1198,0
1199,1
1200,2
1201,1
1202,1
1203,0
1204,2
1205,1
1206,1
1207,2
1208,2
1209,1
1210,5
1211,0
1212,0
1213,1
1214,1
1215,1
1216,1
1217,0
1218,1
1219,0
1220,0
1221,2
1222,1
1223,1
1224,0
1225,1
1226,0
1227,1
1228,0
1229,0
1230,0
1231,0
1232,1
1233,0
1234,0
1235,0
1236,0
1237,0
1238,0
1239,0
1240,1
1241,1
1242,1
1243,4
1244,1
1245,1
1246,1
1247,1
1248,1
1249,1
1250,0
1251,1
1252,1
1253,0
1254,1
1255,1
1256,2
1257,1
1258,1
1259,0
1260,0
1261,0
1262,1
1263,0
1264,1
1265,2
1266,1
1267,0
1268,0
1269,1
1270,0
1271,2
1272,0
1273,0
1274,0
1275,1
1276,1
1277,2
1278,1
1279,1
1280,0
1281,0
1282,1
1283,1
1284,0
1285,8
1286,1
1287,2
1288,2
1289,1
1290,1
1291,1
1292,1
1293,0
1294,0
1295,0
1296,3
1297,0
1298,1
1299,1
1300,1
1301,1
1302,5
1303,0
1304,0
1305,0
1306,0
1307,1
1308,2
1309,2
1310,0
1311,2
1312,0
1313,1
1314,1
1315,1
1316,0
1317,0
1318,1
1319,0
1320,1
1321,0
1322,0
1323,0
1324,1
1325,0
1326,3
1327,0
1328,0
1329,1
1330,0
1331,1
1332,2
1333,1
1334,0
1335,0
1336,2
1337,0
1338,0
1339,0
1340,1
1341,0
1342,2
1343,2
1344,0
1345,1
1346,1
1347,1
1348,1
1349,1
1350,0
1351,0
1352,0
1353,1
1354,1
1355,4
1356,2
1357,0
1358,1
1359,1
1360,1
1361,0
1362,1
1363,1
1364,0
1365,0
1366,0
1367,2
1368,2
1369,0
1370,1
1371,1
1372,2
1373,2
1374,3
1375,1
