,0
799,2
800,1
801,2
802,2
803,1
804,1
805,3
806,1
807,7
808,3
809,1
810,1
811,1
812,6
813,1
814,1
815,3
816,1
817,1
818,1
819,3
820,1
821,1
822,1
823,3
824,5
825,1
826,2
827,1
828,5
829,0
830,4
831,1
832,2
833,1
834,0
835,1
836,2
837,1
838,1
839,4
840,1
841,1
842,1
843,1
844,2
845,1
846,1
847,1
848,2
849,1
850,1
851,0
852,5
853,4
854,1
855,2
856,2
857,1
858,1
859,1
860,0
861,2
862,3
863,1
864,4
865,0
866,0
867,1
868,5
869,4
870,2
871,0
872,1
873,3
874,2
875,3
876,2
877,6
878,0
879,1
880,3
881,2
882,3
883,5
884,4
885,1
886,1
887,0
888,1
889,5
890,1
891,4
892,1
893,7
894,1
895,2
896,1
897,1
898,1
899,14
900,0
901,1
902,5
903,2
904,0
905,1
906,1
907,2
908,3
909,0
910,1
911,3
912,1
913,1
914,6
915,3
916,1
917,3
918,1
919,1
920,2
921,4
922,1
923,1
924,1
925,1
926,5
927,0
928,2
929,1
930,2
931,2
932,2
933,4
934,4
935,1
936,2
937,1
938,1
939,2
940,1
941,6
942,2
943,1
944,1
945,1
946,1
947,1
948,1
949,2
950,0
951,1
952,1
953,2
954,6
955,1
956,5
957,1
958,1
959,2
960,3
961,3
962,2
963,2
964,0
965,3
966,1
967,1
968,0
969,1
970,2
971,9
972,1
973,6
974,2
975,1
976,2
977,1
978,1
979,5
980,1
981,0
982,3
983,1
984,5
985,2
986,1
987,3
988,6
989,1
990,2
991,3
992,1
993,0
994,1
995,2
996,2
997,2
998,2
999,4
1000,5
1001,1
1002,8
1003,3
1004,3
1005,0
1006,3
1007,3
1008,0
1009,1
1010,1
1011,3
1012,2
1013,1
1014,0
1015,1
1016,3
1017,0
1018,0
1019,1
1020,1
1021,4
1022,2
1023,4
1024,2
1025,0
1026,4
1027,1
1028,1
1029,2
1030,2
1031,1
1032,1
1033,0
1034,2
1035,1
1036,1
1037,0
1038,5
1039,1
1040,1
1041,1
1042,1
1043,10
1044,0
1045,3
1046,1
1047,0
1048,5
1049,0
1050,1
1051,1
1052,5
1053,3
1054,1
1055,1
1056,1
1057,0
1058,1
1059,4
1060,1
1061,1
1062,1
1063,1
1064,3
1065,0
1066,4
1067,4
1068,6
1069,1
1070,1
1071,3
1072,1
1073,1
1074,1
1075,1
1076,2
1077,6
1078,1
1079,1
1080,2
1081,1
1082,2
1083,0
1084,1
1085,1
1086,2
1087,3
1088,4
1089,1
1090,1
1091,2
1092,3
1093,2
1094,0
1095,4
1096,4
1097,1
1098,1
1099,2
1100,1
1101,1
1102,0
1103,1
1104,1
1105,3
1106,1
1107,1
1108,1
1109,0
1110,1
1111,5
1112,1
1113,1
1114,1
1115,2
1116,1
1117,1
1118,1
1119,2
1120,2
1121,2
1122,1
1123,1
1124,2
1125,2
1126,1
1127,1
1128,0
1129,1
1130,1
1131,1
1132,2
1133,4
1134,1
1135,0
1136,2
1137,1
1138,5
1139,0
1140,1
1141,1
1142,2
1143,1
1144,1
1145,2
1146,1
1147,3
1148,1
1149,3
1150,1
1151,1
1152,1
1153,2
1154,4
1155,0
1156,6
1157,1
1158,1
1159,1
1160,3
1161,1
1162,2
1163,1
1164,1
1165,0
1166,5
1167,1
1168,2
1169,2
1170,0
1171,1
1172,2
1173,3
1174,4
1175,3
1176,1
1177,1
1178,1
1179,1
1180,1
1181,2
1182,1
1183,1
1184,5
1185,3
1186,0
1187,0
1188,1
1189,1
1190,2
1191,1
1192,1
1193,0
1194,0
1195,1
1196,2
1197,1
1198,1
1199,1
1200,1
1201,1
1202,3
1203,3
1204,1
1205,2
1206,2
1207,0
1208,2
1209,4
1210,1
1211,7
1212,1
1213,2
1214,2
1215,1
1216,1
1217,4
1218,2
1219,2
1220,1
1221,3
1222,2
1223,1
1224,0
1225,2
1226,1
1227,5
1228,1
1229,0
1230,2
1231,1
1232,2
1233,1
1234,2
1235,3
1236,1
1237,1
1238,1
1239,1
1240,0
1241,1
1242,3
1243,3
1244,1
1245,0
1246,1
1247,2
1248,2
1249,5
1250,1
1251,1
1252,1
1253,2
1254,2
1255,1
1256,3
1257,1
1258,2
1259,2
1260,0
1261,1
1262,2
1263,3
1264,4
1265,5
1266,1
1267,1
1268,6
1269,1
1270,0
1271,1
1272,5
1273,2
1274,0
1275,3
1276,4
1277,2
1278,1
1279,1
1280,1
1281,5
1282,1
1283,0
1284,2
1285,3
1286,2
1287,1
1288,2
1289,2
1290,6
1291,1
1292,1
1293,1
1294,1
1295,1
1296,2
1297,1
1298,1
1299,1
1300,3
1301,1
1302,1
1303,1
1304,1
1305,3
1306,3
1307,4
1308,1
1309,1
1310,4
1311,0
1312,0
1313,1
1314,3
1315,1
1316,1
1317,0
1318,4
1319,2
1320,1
1321,1
1322,0
1323,1
1324,2
1325,0
1326,0
1327,2
1328,1
