,covid,covid19,litcovid,thcovid,healthcare,healthcares,innovation,innovationand,innovations,20policy,policy,policymaker,policymakers,policymaking
104,1,0,0,0,0,0,6,0,0,0,5,0,0,0
105,3,0,0,0,0,0,0,0,1,0,0,0,0,0
106,1,0,0,0,1,0,0,0,4,0,0,0,0,0
107,1,0,0,0,0,0,1,0,0,0,0,0,0,0
108,1,0,0,0,0,0,1,0,0,0,1,0,0,0
109,2,0,0,0,0,0,0,0,0,0,0,0,0,0
110,2,0,0,0,0,0,1,0,0,0,1,0,0,0
111,3,0,0,0,0,0,1,0,0,0,1,0,0,0
112,2,0,0,0,1,0,1,0,0,0,2,0,0,0
113,1,0,0,0,0,0,0,0,1,0,1,0,0,0
114,10,0,0,0,1,0,3,0,0,0,1,0,0,0
115,1,0,0,0,0,0,1,0,0,0,1,0,0,0
116,2,0,0,0,0,0,0,0,1,0,1,0,0,0
117,2,0,0,0,0,0,5,0,0,0,1,0,0,0
118,2,0,0,0,2,0,0,0,1,0,0,0,0,0
119,2,0,0,0,0,0,0,0,0,0,1,0,0,0
120,1,0,0,0,0,0,1,0,0,0,1,0,0,0
121,3,0,0,0,0,0,1,0,0,0,2,0,0,0
122,1,0,0,0,0,0,1,0,0,0,1,0,1,3
123,14,0,0,0,0,0,1,0,0,0,1,0,2,0
124,1,0,0,0,3,0,0,0,1,0,0,0,0,0
125,2,0,0,0,1,0,0,0,0,0,0,0,0,0
126,1,0,0,0,0,0,0,0,1,0,1,0,0,0
127,1,0,0,0,0,0,1,0,0,0,1,0,0,0
128,2,0,0,0,0,0,1,0,0,0,1,0,0,0
129,4,0,0,0,2,0,0,0,1,0,0,0,0,0
130,1,0,0,0,0,0,1,0,0,0,2,0,0,0
131,2,0,0,0,0,0,2,0,0,0,0,0,0,0
132,1,0,0,0,0,0,2,0,0,0,1,0,0,0
133,1,0,0,0,0,0,1,0,0,0,2,0,0,0
134,1,0,0,0,0,0,4,0,0,0,1,0,0,0
135,1,0,0,0,0,0,0,0,1,0,1,0,0,0
136,3,0,0,0,0,0,3,0,0,0,2,0,0,0
137,2,0,0,0,0,0,1,0,0,0,1,0,0,0
138,1,0,0,0,0,0,0,0,0,0,0,0,0,0
139,4,0,0,0,0,0,0,0,1,0,0,0,0,0
140,1,0,0,0,0,0,2,0,0,0,1,0,1,0
141,2,0,0,0,0,0,1,0,0,0,1,0,0,0
142,0,0,0,0,4,0,1,0,0,0,2,0,0,0
143,0,0,0,0,0,0,0,0,0,0,2,0,0,0
144,2,0,0,0,0,0,1,0,0,0,1,0,0,0
145,2,0,0,0,0,0,0,0,0,0,1,0,0,0
146,5,0,0,0,0,0,1,0,0,0,1,0,0,0
147,1,0,0,0,0,0,5,0,0,0,0,0,0,0
