,0
799,3
800,1
801,1
802,1
803,1
804,0
805,1
806,1
807,2
808,1
809,1
810,1
811,3
812,1
813,1
814,1
815,1
816,2
817,1
818,1
819,1
820,2
821,1
822,0
823,1
824,1
825,4
826,3
827,1
828,0
829,1
830,4
831,1
832,1
833,4
834,1
835,1
836,1
837,1
838,3
839,1
840,1
841,1
842,1
843,1
844,2
845,3
846,1
847,2
848,4
849,1
850,0
851,0
852,3
853,1
854,1
855,2
856,7
857,1
858,1
859,3
860,1
861,1
862,2
863,1
864,1
865,1
866,0
867,1
868,2
869,1
870,7
871,0
872,1
873,1
874,1
875,1
876,0
877,1
878,1
879,1
880,0
881,1
882,1
883,1
884,1
885,1
886,1
887,0
888,6
889,1
890,2
891,1
892,1
893,2
894,1
895,2
896,2
897,1
898,3
899,2
900,1
901,1
902,2
903,0
904,1
905,0
906,2
907,2
908,0
909,6
910,2
911,1
912,1
913,1
914,1
915,1
916,1
917,4
918,3
919,1
920,1
921,0
922,1
923,1
924,11
925,0
926,1
927,0
928,1
929,4
930,0
931,2
932,0
933,1
934,1
935,1
936,1
937,4
938,1
939,1
940,1
941,1
942,6
943,2
944,1
945,0
946,1
947,1
948,1
949,1
950,0
951,2
952,0
953,1
954,0
955,0
956,1
957,2
958,1
959,0
960,4
961,0
962,1
963,1
964,0
965,1
966,0
967,1
968,1
969,1
970,1
971,1
972,1
973,1
974,1
975,1
976,4
977,1
978,1
979,2
980,6
981,0
982,1
983,1
984,0
985,6
986,1
987,4
988,1
989,1
990,1
991,1
992,1
993,1
994,2
995,1
996,1
997,1
998,0
999,1
1000,1
1001,1
1002,1
1003,5
1004,1
1005,0
1006,2
1007,1
1008,0
1009,1
1010,1
1011,0
1012,0
1013,1
1014,0
1015,3
1016,1
1017,0
1018,0
1019,1
1020,2
1021,1
1022,0
1023,1
1024,1
1025,1
1026,0
1027,0
1028,1
1029,1
1030,1
1031,1
1032,2
1033,0
1034,0
1035,0
1036,0
1037,1
1038,0
1039,0
1040,3
1041,1
1042,1
1043,0
1044,0
1045,1
1046,1
1047,0
1048,1
1049,1
1050,0
1051,1
1052,6
1053,2
1054,1
1055,1
1056,0
1057,1
1058,0
1059,7
1060,1
1061,1
1062,6
1063,1
1064,13
1065,2
1066,2
1067,0
1068,1
1069,1
1070,3
1071,1
1072,2
1073,1
1074,1
1075,1
1076,1
1077,1
1078,1
1079,1
1080,0
1081,6
1082,4
1083,0
1084,7
1085,3
1086,1
1087,1
1088,0
1089,1
1090,1
1091,1
1092,0
1093,2
1094,1
1095,1
1096,0
1097,1
1098,0
1099,1
1100,1
1101,1
1102,0
1103,1
1104,1
1105,1
1106,1
1107,1
1108,1
1109,1
1110,1
1111,3
1112,1
1113,1
1114,1
1115,0
1116,0
1117,5
1118,1
1119,4
1120,5
1121,0
1122,1
1123,1
1124,1
1125,1
1126,1
1127,1
1128,1
1129,1
1130,1
1131,2
1132,1
1133,1
1134,1
1135,1
1136,0
1137,1
1138,1
1139,0
1140,1
1141,1
1142,1
1143,1
1144,0
1145,1
1146,0
1147,1
1148,1
1149,1
1150,1
1151,3
1152,1
1153,0
1154,0
1155,0
1156,3
1157,1
1158,1
1159,1
1160,1
1161,1
1162,1
1163,1
1164,2
1165,1
1166,2
1167,0
1168,9
1169,7
1170,0
1171,2
1172,1
1173,1
1174,1
1175,3
1176,1
1177,1
1178,3
1179,2
1180,4
1181,1
1182,1
1183,1
1184,1
1185,0
1186,0
1187,3
1188,3
1189,1
1190,1
1191,1
1192,4
1193,1
1194,0
1195,1
1196,1
1197,2
1198,0
1199,4
1200,2
1201,2
1202,1
1203,0
1204,1
1205,1
1206,1
1207,0
1208,1
1209,2
1210,1
1211,5
1212,2
1213,16
1214,1
1215,0
1216,1
1217,1
1218,2
1219,1
1220,1
1221,1
1222,3
1223,1
1224,1
1225,2
1226,1
1227,1
1228,1
1229,1
1230,1
1231,1
1232,1
1233,2
1234,5
1235,1
1236,1
1237,4
1238,1
1239,1
1240,2
1241,3
1242,2
1243,1
1244,1
1245,1
1246,0
1247,1
1248,1
1249,2
1250,6
1251,2
1252,1
1253,1
1254,3
1255,1
1256,1
1257,1
1258,2
1259,2
1260,1
1261,1
1262,1
1263,1
1264,1
1265,0
1266,1
1267,1
1268,1
1269,3
1270,0
1271,0
1272,1
1273,1
1274,1
1275,1
1276,1
1277,2
1278,1
1279,2
1280,0
1281,2
1282,1
1283,2
1284,1
1285,6
1286,1
1287,1
1288,0
1289,1
1290,1
1291,4
1292,1
1293,0
1294,1
1295,0
1296,4
1297,1
1298,1
1299,2
1300,1
1301,1
1302,1
1303,1
1304,1
1305,0
1306,1
1307,1
1308,0
1309,0
1310,0
1311,3
1312,0
1313,1
1314,1
1315,0
1316,1
1317,0
1318,1
1319,1
1320,1
1321,1
1322,1
1323,2
1324,1
1325,0
1326,0
1327,0
1328,3
1329,2
1330,0
1331,1
1332,1
1333,1
1334,2
1335,1
1336,1
1337,1
1338,0
1339,0
1340,2
1341,1
1342,3
1343,1
1344,0
1345,1
1346,3
1347,1
1348,0
1349,1
1350,2
1351,0
1352,1
1353,3
1354,0
1355,0
1356,1
1357,1
1358,3
1359,1
1360,1
1361,2
1362,1
1363,1
1364,1
1365,1
1366,5
1367,1
1368,2
1369,0
1370,1
1371,0
1372,3
1373,1
1374,0
1375,1
1376,1
1377,0
1378,2
1379,1
1380,0
1381,1
1382,1
1383,2
1384,2
1385,1
1386,1
1387,1
1388,1
1389,0
1390,3
1391,1
1392,1
1393,1
1394,0
1395,1
1396,2
1397,0
1398,1
1399,1
1400,0
1401,1
1402,1
1403,0
1404,1
1405,1
1406,0
1407,1
1408,1
1409,1
1410,1
1411,0
1412,0
1413,1
1414,0
1415,1
1416,1
1417,1
1418,1
1419,1
1420,1
1421,1
1422,0
1423,1
1424,1
1425,0
1426,1
1427,0
1428,0
1429,1
1430,1
1431,0
1432,1
1433,0
1434,8
1435,1
1436,2
1437,1
1438,0
1439,1
1440,0
1441,1
1442,0
1443,1
1444,3
1445,0
1446,1
1447,0
1448,0
1449,1
1450,1
1451,0
1452,0
1453,0
1454,0
1455,0
1456,0
1457,1
1458,4
1459,0
1460,1
1461,0
1462,1
1463,0
1464,1
1465,1
1466,0
1467,0
1468,0
1469,1
1470,0
1471,0
1472,1
1473,1
1474,0
1475,1
1476,0
1477,1
1478,2
1479,0
1480,1
1481,0
1482,0
1483,1
1484,1
1485,0
1486,1
1487,0
1488,1
1489,0
1490,0
1491,1
1492,0
1493,1
1494,1
1495,1
1496,1
1497,1
1498,1
1499,1
1500,1
1501,1
1502,1
1503,1
1504,1
1505,0
1506,0
1507,1
1508,0
1509,0
1510,1
1511,1
1512,1
1513,0
1514,1
1515,1
1516,0
1517,0
1518,1
1519,1
1520,1
1521,2
1522,0
1523,1
1524,1
1525,1
1526,1
1527,0
1528,1
1529,1
1530,1
1531,2
1532,1
1533,2
1534,0
1535,1
1536,2
1537,0
1538,1
